Date,Open,High,Low,Close,Adj Close,Volume,Company
2019-12-17,41052.359375,41401.648438,41005.179688,41352.171875,41352.171875,19000.0,BSESN
2019-12-18,41442.75,41614.769531,41358.46875,41558.570313,41558.570313,24300.0,BSESN
2019-12-19,41571.820313,41719.289063,41456.398438,41673.921875,41673.921875,33300.0,BSESN
2019-12-20,41746.199219,41809.960938,41636.109375,41681.539063,41681.539063,33600.0,BSESN
2019-12-23,41548.261719,41701.621094,41474.609375,41642.660156,41642.660156,6200.0,BSESN
2019-12-24,41684.511719,41702.980469,41423.070313,41461.261719,41461.261719,4400.0,BSESN
2019-12-26,41543.800781,41543.800781,41132.890625,41163.761719,41163.761719,5600.0,BSESN
2019-12-27,41297.078125,41611.269531,41264.921875,41575.140625,41575.140625,6100.0,BSESN
2019-12-30,41686.269531,41714.730469,41453.378906,41558.0,41558.0,5700.0,BSESN
2019-12-31,41607.488281,41607.488281,41184.730469,41253.738281,41253.738281,5600.0,BSESN
2020-01-02,41340.269531,41649.289063,41328.449219,41626.640625,41626.640625,5300.0,BSESN
2020-01-03,41634.511719,41636.179688,41348.679688,41464.609375,41464.609375,8900.0,BSESN
2020-01-06,41378.339844,41378.339844,40613.960938,40676.628906,40676.628906,8700.0,BSESN
2020-01-07,40983.039063,41230.140625,40727.371094,40869.46875,40869.46875,11900.0,BSESN
2020-01-08,40574.828125,40866.359375,40476.550781,40817.738281,40817.738281,18200.0,BSESN
2020-01-09,41216.671875,41482.121094,41175.71875,41452.351563,41452.351563,7800.0,BSESN
2020-01-10,41568.199219,41775.109375,41447.800781,41599.71875,41599.71875,13200.0,BSESN
2020-01-13,41788.210938,41899.628906,41720.761719,41859.691406,41859.691406,10600.0,BSESN
2020-01-14,41883.089844,41994.261719,41770.898438,41952.628906,41952.628906,14100.0,BSESN
2020-01-15,41969.859375,41969.859375,41648.109375,41872.730469,41872.730469,6100.0,BSESN
2020-01-16,41924.738281,42059.449219,41812.28125,41932.558594,41932.558594,6600.0,BSESN
2020-01-17,41929.019531,42063.929688,41850.289063,41945.371094,41945.371094,9500.0,BSESN
2020-01-20,42263.0,42273.871094,41503.371094,41528.910156,41528.910156,7500.0,BSESN
2020-01-21,41487.570313,41532.589844,41294.300781,41323.808594,41323.808594,8900.0,BSESN
2020-01-22,41467.128906,41532.289063,41059.039063,41115.378906,41115.378906,7700.0,BSESN
2020-01-23,41191.5,41413.960938,41098.910156,41386.398438,41386.398438,9900.0,BSESN
2020-01-24,41377.039063,41697.03125,41275.601563,41613.191406,41613.191406,6600.0,BSESN
2020-01-27,41510.679688,41516.269531,41122.480469,41155.121094,41155.121094,7000.0,BSESN
2020-01-28,41299.679688,41333.25,40869.75,40966.859375,40966.859375,9800.0,BSESN
2020-01-29,41131.570313,41334.859375,41108.191406,41198.660156,41198.660156,7800.0,BSESN
2020-01-30,41380.140625,41380.140625,40829.910156,40913.820313,40913.820313,6700.0,BSESN
2020-01-31,41146.558594,41154.488281,40671.011719,40723.488281,40723.488281,11500.0,BSESN
2020-02-03,39701.019531,40014.898438,39563.070313,39872.308594,39872.308594,10600.0,BSESN
2020-02-04,40178.738281,40818.941406,40117.460938,40789.378906,40789.378906,15300.0,BSESN
2020-02-05,40921.710938,41177.0,40703.320313,41142.660156,41142.660156,13900.0,BSESN
2020-02-06,41209.128906,41405.429688,41113.109375,41306.03125,41306.03125,15000.0,BSESN
2020-02-07,41394.410156,41394.410156,41073.359375,41141.851563,41141.851563,15300.0,BSESN
2020-02-10,41166.71875,41172.058594,40798.980469,40979.621094,40979.621094,15200.0,BSESN
2020-02-11,41183.390625,41444.339844,41179.140625,41216.140625,41216.140625,7700.0,BSESN
2020-02-12,41330.851563,41671.859375,41330.851563,41565.898438,41565.898438,9600.0,BSESN
2020-02-13,41707.210938,41709.300781,41338.308594,41459.789063,41459.789063,9100.0,BSESN
2020-02-14,41510.191406,41702.359375,41183.128906,41257.738281,41257.738281,9800.0,BSESN
2020-02-17,41324.039063,41420.339844,41030.578125,41055.691406,41055.691406,6900.0,BSESN
2020-02-18,41042.460938,41042.460938,40610.949219,40894.378906,40894.378906,12300.0,BSESN
2020-02-19,41121.511719,41357.160156,41048.929688,41323.0,41323.0,5600.0,BSESN
2020-02-20,41334.960938,41399.929688,41134.308594,41170.121094,41170.121094,8400.0,BSESN
2020-02-24,41037.011719,41037.011719,40306.359375,40363.230469,40363.230469,8100.0,BSESN
2020-02-25,40497.71875,40536.0,40220.589844,40281.199219,40281.199219,7300.0,BSESN
2020-02-26,40194.890625,40255.390625,39760.390625,39888.960938,39888.960938,9000.0,BSESN
2020-02-27,39947.800781,39947.800781,39423.269531,39745.660156,39745.660156,9600.0,BSESN
2020-02-28,39087.46875,39087.46875,38219.96875,38297.289063,38297.289063,12700.0,BSESN
2020-03-02,38910.949219,39083.171875,37785.988281,38144.019531,38144.019531,13400.0,BSESN
2020-03-03,38480.890625,38754.238281,38142.300781,38623.699219,38623.699219,10600.0,BSESN
2020-03-04,38715.71875,38791.699219,37846.101563,38409.480469,38409.480469,15300.0,BSESN
2020-03-05,38604.25,38887.800781,38386.679688,38470.609375,38470.609375,13500.0,BSESN
2020-03-06,37613.960938,37747.070313,37011.089844,37576.621094,37576.621094,19000.0,BSESN
2020-03-09,36950.199219,36950.199219,35109.179688,35634.949219,35634.949219,18800.0,BSESN
2020-03-11,35468.898438,36021.511719,35261.921875,35697.398438,35697.398438,27900.0,BSESN
2020-03-12,34472.5,34472.5,32493.099609,32778.140625,32778.140625,25200.0,BSESN
2020-03-13,31214.130859,34769.480469,29388.970703,34103.480469,34103.480469,32600.0,BSESN
